name,x,y,capital,bird,flower
Alabama,139,-77,Montgomery,Yellowhammer,Camellia
Alaska,-204,-170,Juneau,Willow Ptarmigan,Forget-me-not
Arizona,-203,-40,Phoenix,Cactus Wren,Saguaro Cactus Blossom
Arkansas,57,-53,Little Rock,Mockingbird,Apple Blossom
California,-297,13,Sacramento,California Valley Quail,Golden Poppy
Colorado,-112,20,Denver,Lark Bunting,Columbine
Connecticut,297,96,Hartford,American Robin,Mountain Laurel
Delaware,275,42,Dover,Blue Hen Chicken,Peach Blossom
Florida,220,-145,Tallahassee,Mockingbird,Orange Blossom
Georgia,182,-75,Atlanta,Brown Thrasher,Cherokee Rose
Hawaii,-317,-143,Honolulu,Nene (Hawaiian Goose),Hibiscus
Idaho,-216,122,Boise,Mountain Bluebird,Syringa
Illinois,95,37,Springfield,Cardinal,Native violet
Indiana,133,39,Indianapolis,Cardinal,Peony
Iowa,38,65,Des Moines,Eastern Goldfinch,Wild Rose
Kansas,-17,5,Topeka,Western Meadowlark,Native Sunflower
Kentucky,149,1,Frankfort,Kentucky Cardinal,Goldenrod
Louisiana,59,-114,Baton Rouge,Pelican,Magnolia
Maine,319,164,Augusta,Chickadee,White Pine Cone and Tassel
Maryland,288,27,Annapolis,Baltimore Oriole,Black-Eyed Susan
Massachusetts,312,112,Boston,Chickadee,Mayflower
Michigan,148,101,Lansing,Robin,Apple Blossom
Minnesota,23,135,St. Paul,Common Loon,Pink and White Ladyâ€™s Slipper
Mississippi,94,-78,Jackson,Mockingbird,Magnolia
Missouri,49,6,Jefferson City,Bluebird,Hawthorn
Montana,-141,150,Helena,Western Meadowlark,Bitterroot
Nebraska,-61,66,Lincoln,Western Meadowlark,Goldenrod
Nevada,-257,56,Carson City,Mountain Bluebird,Sagebrush
New Hampshire,302,127,Concord,Purple Finch,Purple Lilac
New Jersey,282,65,Trenton,Eastern Goldfinch,Purple Violet
New Mexico,-128,-43,Santa Fe,Roadrunner,Yucca Flower
New York,236,104,Albany,Bluebird,Rose
North Carolina,239,-22,Raleigh,Cardinal,Dogwood
North Dakota,-44,158,Bismarck,Western Meadowlark,Wild Prairie Rose
Ohio,176,52,Columbus,Cardinal,Scarlet Carnation
Oklahoma,-8,-41,Oklahoma City,Scissor-Tailed Flycatcher,Mistletoe
Oregon,-278,138,Salem,Western Meadowlark,Oregon Grape
Pennsylvania,238,72,Harrisburg,Ruffed Grouse,Mountain Laurel
Rhode Island,318,94,Providence,Rhode Island Red,Violet
South Carolina,218,-51,Columbia,Carolina Wren,Yellow Jessamine
South Dakota,-44,109,Pierre,Ring-Necked Pheasant,American Pasqueflower
Tennessee,131,-34,Nashville,Mockingbird,Iris
Texas,-38,-106,Austin,Mockingbird,Bluebonnet
Utah,-189,34,Salt Lake City,California Gull,Sego Lily
Vermont,282,154,Montpelier,Hermit Thrush,Red Clover
Virginia,234,12,Richmond,Cardinal,Dogwood
Washington,-257,193,Olympia,Willow Goldfinch,Western Rhododendron
West Virginia,200,20,Charleston,Cardinal,Big Rhododendron
Wisconsin,83,113,Madison,Robin,Wood Violet
Wyoming,-134,90,Cheyenne,Meadowlark,Indian Paintbrush
